"gold_mining_area_nb150_200km","cd_mun","year","k12it_nb150_200km_2yrgp","q1i_nb150_200km_2yrgp","elm_nb150_200km_2yrgp","e1n1ac_nb150_200km_2yrgp","pp4_gamma_sr_nb150_200km_2yrgp","q1p2_nb150_200km_2yrgp","n_qi_nb150_200km_2yrgp","a3_gamma_ms_nb150_200km_2yrgp","n_pct_nb150_200km_2yrgp","np3fcb_nb150_200km_2yrgp","pp4r_nb150_200km_2yrgp","np12x_nb150_200km_2yrgp","a4pp1nv_nb150_200km_2yrgp","ap_pi_nb150_200km_2yrgp","q2a_nb150_200km_2yrgp","q2pa_nb150_200km_2yrgp","a4jg_nb150_200km_2yrgp","pp3ruc_nb150_200km_2yrgp","pp2_gamma_ca_nb150_200km_2yrgp","mp23bpa_nb150_200km_2yrgp","a3xi_nb150_200km_2yrgp","a3s_nb150_200km_2yrgp","k2ut_nb150_200km_2yrgp","e_nb_nb150_200km_2yrgp","k2sn_nb150_200km_2yrgp","pp4_gamma_jsp_nb150_200km_2yrgp","a3_gamma_xg_nb150_200km_2yrgp","s_dat_nb150_200km_2yrgp","pp34_alfa_c_nb150_200km_2yrgp","a4gu_nb150_200km_2yrgp","mp2_gamma_ac_nb150_200km_2yrgp","mp1_gamma_fo_nb150_200km_2yrgp","pp3_alfa_su_nb150_200km_2yrgp","pp4ja_nb150_200km_2yrgp","a3_gamma_rm_nb150_200km_2yrgp","a4is_nb150_200km_2yrgp","n_pcu3_nb150_200km_2yrgp","n1dl_nb150_200km_2yrgp","pp2bt_nb150_200km_2yrgp","a3av_nb150_200km_2yrgp","n12s_nb150_200km_2yrgp","pp2acgm_nb150_200km_2yrgp","pp2_gamma_c1_nb150_200km_2yrgp","qfm_nb150_200km_2yrgp","pp3_gamma_p_nb150_200km_2yrgp","pp2_gamma_t_nb150_200km_2yrgp","pp4na_nb150_200km_2yrgp","pp3_alfa_i_nb150_200km_2yrgp","pp3_gamma_ma_nb150_200km_2yrgp","mp1_gamma_p_nb150_200km_2yrgp","a3tu_nb150_200km_2yrgp","pp23ur_nb150_200km_2yrgp","o3d1t_nb150_200km_2yrgp","n_pcu5_nb150_200km_2yrgp","mp3f_nb150_200km_2yrgp","pp2_gamma_p4_nb150_200km_2yrgp","pp2oy3_nb150_200km_2yrgp","pp4_gamma_v_nb150_200km_2yrgp","pp2iv_nb150_200km_2yrgp","pp34_gamma_tp_nb150_200km_2yrgp","a3mp_nb150_200km_2yrgp","pp2_gamma_i_nb150_200km_2yrgp","mp2d7_nb150_200km_2yrgp","q1p1_nb150_200km_2yrgp","pp23ac_nb150_200km_2yrgp","pp2ip_nb150_200km_2yrgp","pp3_gamma_3pp_nb150_200km_2yrgp","pp4_gamma_nc1_nb150_200km_2yrgp","a4_gamma_2pq_nb150_200km_2yrgp","pp3_gamma_2i_nb150_200km_2yrgp","pp34_gamma_ju_nb150_200km_2yrgp","pp3t_nb150_200km_2yrgp","n_pcu6_nb150_200km_2yrgp","mp1_gamma_rc_nb150_200km_2yrgp","pp3_gamma_m2_nb150_200km_2yrgp","pp3_gamma_m4_nb150_200km_2yrgp","a4aq_nb150_200km_2yrgp","pp3_gamma_1tr_nb150_200km_2yrgp","pp2p_nb150_200km_2yrgp","pp2_gamma_acgr_nb150_200km_2yrgp","pop","malaria_allpop_api"
0.847452430114745,"110003",2013,0,0,0,0,0,0,1155477.1092336,0,0,4157059.49817747,2455695.82357974,0,0,0,0,0,0,0,0,0,0,0,6031491.23932603,0,597.139387989636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6495,0.153964588144727
0.832553863708495,"110003",2014,0,0,0,0,0,0,1004206.18862188,0,0,3612832.17225136,2134204.93033161,0,0,0,0,0,0,0,0,0,0,0,5241870.02991965,0,518.964040133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6424,0
0.816779286132812,"110003",2015,0,0,0,0,0,0,909952.76883884,0,0,3273736.68449681,1933891.37373261,0,0,0,0,0,0,0,0,0,0,0,4749875.27627631,0,470.254784921097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6355,0
0.813273860473633,"110003",2016,0,0,0,0,0,0,904134.656478841,0,0,3252804.86416535,1921526.33931575,0,0,0,0,0,0,0,0,0,0,0,4719505.22961046,0,467.248040757892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6289,0.477023374145333
0.80626291821289,"110003",2017,0,0,0,0,0,0,940206.953036008,0,0,3382582.14995122,1998189.55254126,0,0,0,0,0,0,0,0,0,0,0,4907799.51854815,0,485.889854531091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6224,0.160668380462725
0.787858876037598,"110003",2018,0,0,0,0,0,0,947188.687793183,0,0,3407700.33407979,2013027.59368247,0,0,0,0,0,0,0,0,0,0,0,4944243.5741566,0,489.497947488269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5438,0.183891136447223
0.779971553588867,"110003",2019,0,0,0,0,0,0,998388.076261878,0,0,3591900.35191989,2121839.89591475,0,0,0,0,0,0,0,0,0,0,0,5211499.9832538,0,515.957295969796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5312,0.188253012048193
0.79662521105957,"110005",2003,0,0,0,0,0,0,252506.075226763,0,0,908440.998078407,536642.491147362,0,0,0,0,0,0,0,0,0,0,0,1318060.01904873,0,130.492696064384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17794,1.1801730920535
0.97715433703613,"110005",2004,0,0,0,0,0,0,289741.994143695,0,0,1042404.64752679,615778.71101771,0,0,0,0,0,0,0,0,0,0,0,1512428.31673374,0,149.735858612223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17217,0.406574896904223
1.07793831909179,"110005",2005,0,0,0,0,0,0,319996.178266041,0,0,1151250.11271201,680076.889667337,0,0,0,0,0,0,0,0,0,0,0,1670352.55861502,0,165.37092818355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17366,0.345502706437867
0.999940642517087,"110005",2006,0,0,0,0,0,0,393304.393665317,0,0,1414991.04767708,835876.32260417,0,0,0,0,0,0,0,0,0,0,0,2053015.14484715,0,203.25590446592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17215,0.348533255881499
0.96751500463867,"110005",2007,0,0,0,0,0,0,488721.435920353,0,0,1758272.89949791,1038662.88608654,0,0,0,0,0,0,0,0,0,0,0,2551083.90782366,0,252.566508510464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16290,0.49109883364027
0.914932600341795,"110005",2008,0,0,0,0,0,0,588792.968025976,0,0,2118300.20744932,1251341.47702288,0,0,0,0,0,0,0,0,0,0,0,3073448.70793756,0,304.282507866238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16784,0.238322211630124
