"gold_mining_area_nb100_150km","cd_mun","year","k12it_nb100_150km_2yrgp","q1i_nb100_150km_2yrgp","e1n1ac_nb100_150km_2yrgp","elm_nb100_150km_2yrgp","n_qi_nb100_150km_2yrgp","n_pct_nb100_150km_2yrgp","pp4ja_nb100_150km_2yrgp","np12x_nb100_150km_2yrgp","e_nb_nb100_150km_2yrgp","pp4_gamma_sr_nb100_150km_2yrgp","a3_gamma_ms_nb100_150km_2yrgp","a4pp1nv_nb100_150km_2yrgp","ap_pi_nb100_150km_2yrgp","np3fcb_nb100_150km_2yrgp","q2pa_nb100_150km_2yrgp","a3s_nb100_150km_2yrgp","q2a_nb100_150km_2yrgp","k2ut_nb100_150km_2yrgp","pp4r_nb100_150km_2yrgp","a4jg_nb100_150km_2yrgp","s_dat_nb100_150km_2yrgp","q1p2_nb100_150km_2yrgp","a4gu_nb100_150km_2yrgp","pp2_gamma_ca_nb100_150km_2yrgp","a3tu_nb100_150km_2yrgp","a3_gamma_xg_nb100_150km_2yrgp","n1dl_nb100_150km_2yrgp","a3av_nb100_150km_2yrgp","pp4_gamma_jsp_nb100_150km_2yrgp","mp1_gamma_p_nb100_150km_2yrgp","mp2_gamma_ac_nb100_150km_2yrgp","pp3_gamma_p_nb100_150km_2yrgp","mp23bpa_nb100_150km_2yrgp","pp34_alfa_c_nb100_150km_2yrgp","n12s_nb100_150km_2yrgp","pp2acgm_nb100_150km_2yrgp","pp2bt_nb100_150km_2yrgp","a4is_nb100_150km_2yrgp","k2sn_nb100_150km_2yrgp","a3_gamma_rm_nb100_150km_2yrgp","pp3_alfa_i_nb100_150km_2yrgp","mp23bit_nb100_150km_2yrgp","mp1_gamma_fo_nb100_150km_2yrgp","mp1_gamma_rc_nb100_150km_2yrgp","pp3t_nb100_150km_2yrgp","pp4na_nb100_150km_2yrgp","np1_gamma_ro_nb100_150km_2yrgp","pp2_gamma_p4_nb100_150km_2yrgp","a3xi_nb100_150km_2yrgp","pp2_gamma_t_nb100_150km_2yrgp","pp2_gamma_c1_nb100_150km_2yrgp","pp3_gamma_ma_nb100_150km_2yrgp","mp3f_nb100_150km_2yrgp","c_pii_nb100_150km_2yrgp","q1p1_nb100_150km_2yrgp","o3d1t_nb100_150km_2yrgp","n_pcu3_nb100_150km_2yrgp","n_pcu5_nb100_150km_2yrgp","mp2d7_nb100_150km_2yrgp","pp4_gamma_nc1_nb100_150km_2yrgp","pp34_gamma_tp_nb100_150km_2yrgp","n_pcu6_nb100_150km_2yrgp","mp2_gamma_lc_nb100_150km_2yrgp","pp2iv_nb100_150km_2yrgp","qfm_nb100_150km_2yrgp","n1r_nb100_150km_2yrgp","pp2_gamma_i_nb100_150km_2yrgp","pp3_alfa_sa_nb100_150km_2yrgp","pp2ip_nb100_150km_2yrgp","q1t_nb100_150km_2yrgp","pp23_gamma_g_nb100_150km_2yrgp","a3mp_nb100_150km_2yrgp","pp34_gamma_ju_nb100_150km_2yrgp","pp23ac_nb100_150km_2yrgp","mp3_gamma_frp_nb100_150km_2yrgp","s_dats_nb100_150km_2yrgp","pp2p_nb100_150km_2yrgp","pp3_gamma_m4_nb100_150km_2yrgp","pp4mp1rg_nb100_150km_2yrgp","mp1pl_nb100_150km_2yrgp","pop","malaria_allpop_api"
14.1715954612428,"110003",2013,0,0,0,0,2534589.05976308,0,0,0,0,0,0,0,0,209774.468385512,107558.604492907,0,185438.394538657,891921.934588652,0,0,0,0,0,0,0,0,1021335.65412258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405464.212873392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609297.69349677,0,6495,0.153964588144727
14.2824290586548,"110003",2014,0,0,0,0,2202769.74687588,0,0,0,0,0,0,0,0,182311.547052038,93477.417603669,0,161161.464745362,775154.712563363,0,0,0,0,0,0,0,0,887626.051900186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352382.291763635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398614.20899654,0,6424,0
15.1847784476319,"110003",2015,0,0,0,0,1996020.79034676,0,0,0,0,0,0,0,0,165200.034525739,84703.7550018442,0,146035.070025231,702399.751134277,0,0,0,0,0,0,0,0,804314.684346357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319308.171681497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267342.19170697,0,6355,0
16.0619352352296,"110003",2016,0,0,0,0,1983258.50901874,0,0,0,0,0,0,0,0,164143.76831538,84162.1708880408,0,145101.341951639,697908.704111091,0,0,0,0,0,0,0,0,799172.007312366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317266.559321024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259238.98072457,0,6289,0.477023374145333
16.6811074081422,"110003",2017,0,0,0,0,2062384.65308832,0,0,0,0,0,0,0,0,170692.618806017,87519.9923866567,0,150890.455995898,725753.195597091,0,0,0,0,0,0,0,0,831056.604856972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329924.555929704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309478.88871122,0,6224,0.160668380462725
17.2847340105591,"110003",2018,0,0,0,0,2077699.39051782,0,0,0,0,0,0,0,0,171960.138244863,88169.8933162558,0,152010.929672199,731142.451967159,0,0,0,0,0,0,0,0,837227.817231624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332374.490736017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319202.74178589,0,5438,0.183891136447223
17.9879995046997,"110003",2019,0,0,0,0,2190007.46554787,0,0,0,0,0,0,0,0,181255.28084168,92935.8334898656,0,160227.736671771,770663.665540176,0,0,0,0,0,0,0,0,882483.374866196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350340.679403162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390510.99801415,0,5312,0.188253012048193
0.79662521105957,"110004",2003,0,0,0,0,252506.075226763,0,0,0,0,0,0,0,0,908440.998078407,0,0,0,1318060.01904873,536642.491147362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.492696064384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334376.97067592,0,0,0,0,0,74758,0.321035875759116
0.97715433703613,"110004",2004,0,0,0,0,289741.994143695,0,0,0,0,0,0,0,0,1042404.64752679,0,0,0,1512428.31673374,615778.71101771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.735858612223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383686.017028949,0,0,0,0,0,76417,1.62267558265831
1.07793831909179,"110004",2005,0,0,0,0,319996.178266041,0,0,0,0,0,0,0,0,1151250.11271201,0,0,0,1670352.55861502,680076.889667337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.37092818355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423749.617193882,0,0,0,0,0,75988,0.81591830288993
