"gold_mining_area_nb250_300km","cd_mun","year","k12it_nb250_300km_2yrgp","pp3_alfa_i_nb250_300km_2yrgp","elm_nb250_300km_2yrgp","q1i_nb250_300km_2yrgp","e1n1ac_nb250_300km_2yrgp","q1p2_nb250_300km_2yrgp","n_qi_nb250_300km_2yrgp","pp4_gamma_sr_nb250_300km_2yrgp","a3_gamma_ms_nb250_300km_2yrgp","n_pct_nb250_300km_2yrgp","pp3_gamma_p_nb250_300km_2yrgp","a4pp1nv_nb250_300km_2yrgp","dc_nb250_300km_2yrgp","a3s_nb250_300km_2yrgp","ap_pi_nb250_300km_2yrgp","np3fcb_nb250_300km_2yrgp","a3xi_nb250_300km_2yrgp","q2a_nb250_300km_2yrgp","pp4r_nb250_300km_2yrgp","pp3_gamma_2i_nb250_300km_2yrgp","pp3ruc_nb250_300km_2yrgp","a4jg_nb250_300km_2yrgp","q2a1_nb250_300km_2yrgp","pp23ur_nb250_300km_2yrgp","q2pa_nb250_300km_2yrgp","pp3_gamma_1i_nb250_300km_2yrgp","pp2_gamma_ca_nb250_300km_2yrgp","np12x_nb250_300km_2yrgp","pp3_alfa_su_nb250_300km_2yrgp","c_pii_nb250_300km_2yrgp","pp3_alfa_sa_nb250_300km_2yrgp","a3_gamma_xg_nb250_300km_2yrgp","a3_gamma_rm_nb250_300km_2yrgp","e_nb_nb250_300km_2yrgp","pp4ja_nb250_300km_2yrgp","mp23bpa_nb250_300km_2yrgp","pp34cb1_nb250_300km_2yrgp","s_dat_nb250_300km_2yrgp","a4is_nb250_300km_2yrgp","pp4_gamma_jsp_nb250_300km_2yrgp","k2sn_nb250_300km_2yrgp","pp34_alfa_c_nb250_300km_2yrgp","a3av_nb250_300km_2yrgp","a4gu_nb250_300km_2yrgp","pp2_gamma_bj_nb250_300km_2yrgp","mp1_gamma_fo_nb250_300km_2yrgp","k2ut_nb250_300km_2yrgp","pp34_delta_mi_nb250_300km_2yrgp","pp3_gamma_ml_nb250_300km_2yrgp","pp2bt_nb250_300km_2yrgp","pp3_gamma_cz_nb250_300km_2yrgp","pp4ct1_nb250_300km_2yrgp","n1dl_nb250_300km_2yrgp","pp3t_nb250_300km_2yrgp","mp23b_nb250_300km_2yrgp","pp3_alfa_so_nb250_300km_2yrgp","mp1_gamma_p_nb250_300km_2yrgp","pp3_gamma_1tr_nb250_300km_2yrgp","pp23go_nb250_300km_2yrgp","pp2_gamma_c1_nb250_300km_2yrgp","pp23ac_nb250_300km_2yrgp","pp3_gamma_3pp_nb250_300km_2yrgp","n_pcu3_nb250_300km_2yrgp","pp3_gamma_ma_nb250_300km_2yrgp","qfm_nb250_300km_2yrgp","mp2_gamma_ac_nb250_300km_2yrgp","mp23bit_nb250_300km_2yrgp","a4_gamma_2pq_nb250_300km_2yrgp","n12s_nb250_300km_2yrgp","pp3bu_nb250_300km_2yrgp","pp2_gamma_t_nb250_300km_2yrgp","pp3_alfa_ar_nb250_300km_2yrgp","a3tu_nb250_300km_2yrgp","pp3pa1_nb250_300km_2yrgp","mp3f_nb250_300km_2yrgp","pp34cb2_nb250_300km_2yrgp","o3d1t_nb250_300km_2yrgp","a3mp_nb250_300km_2yrgp","pp2_gamma_i_nb250_300km_2yrgp","pp2ip_nb250_300km_2yrgp","pop","malaria_allpop_api"
0.331718828979492,"110001",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965513.41444327,519148.10470648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880013.488115867,0,0,0,0,0,0,0,0,5402036.64836822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25728,2.83737562189055
0.332599756835937,"110001",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3446362.61508311,451183.096048826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764805.277209533,0,0,0,0,0,0,0,0,4694821.37733704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25652,3.07968189614845
0.335241038879395,"110001",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122891.73234559,408835.66756976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693021.699631667,0,0,0,0,0,0,0,0,4254171.8622292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25578,1.17288294628196
0.340528582763672,"110001",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3102924.3938099,406221.628762305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688590.614574891,0,0,0,0,0,0,0,0,4226971.27474731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25506,0.235238767348859
0.344934731506348,"110001",2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3226721.89247441,422428.669334908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716063.341869919,0,0,0,0,0,0,0,0,4395614.91678525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25437,0.0786256240908912
0.34934423425293,"110001",2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3250682.69846046,425565.515870237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721380.643881065,0,0,0,0,0,0,0,0,4428255.62141371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23167,0.0431648465489705
0.37666215826416,"110001",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3426395.27654741,448569.057241371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760374.192152757,0,0,0,0,0,0,0,0,4667620.78985515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22945,0
9.27278421496581,"110003",2003,0,0,0,0,0,0,420038.155543168,0,0,0,0,0,0,0,0,2414402.67418284,0,118169.717394909,2369938.64957333,0,0,0,0,0,564809.515727775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1409007.68093929,0,0,0,0,1257695.01159479,707547.306050908,0,0,0,0,0,531061.486053418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226903.844633903,0,0,0,0,0,7478,5.34902380315592
9.40534224060058,"110003",2004,0,0,0,0,0,0,481979.266020519,0,0,0,0,0,0,0,0,2770443.62142722,0,135595.666498914,2719422.6899647,0,0,0,0,0,648099.398207886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616787.615397,0,0,0,0,1443161.55703104,811886.07926397,0,0,0,0,0,609374.700564523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260364.319409176,0,0,0,0,0,7421,1.34752728742757
9.50490025775147,"110003",2005,0,0,0,0,0,0,532306.418287256,0,0,0,0,0,0,0,0,3059726.89108564,0,149754.250147013,3003378.47280463,0,0,0,0,0,715772.427728207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785608.81215694,0,0,0,0,1593853.12520964,896661.332506135,0,0,0,0,0,673004.187359713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287550.955166187,0,0,0,0,0,7436,3.4965034965035
9.56945751556397,"110003",2006,0,0,0,0,0,0,654252.97959205,0,0,0,0,0,0,0,0,3760682.50627483,0,184061.587460295,3691425.17762141,0,0,0,0,0,879749.383931533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194675.5582967,0,0,0,0,1958990.38669449,1102078.2923578,0,0,0,0,0,827183.328494839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353426.26490837,0,0,0,0,0,7421,4.44684004851098
9.53083846130371,"110003",2007,0,0,0,0,0,0,812977.075240826,0,0,0,0,0,0,0,0,4673037.4338792,0,228715.582053533,4586978.03140959,0,0,0,0,0,1093179.70785481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727111.6405142,0,0,0,0,2434248.40952628,1369446.39880145,0,0,0,0,0,1027860.94074347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439168.731547322,0,0,0,0,0,6575,1.67300380228137
9.56183932678223,"110003",2008,0,0,0,0,0,0,979443.809675934,0,0,0,0,0,0,0,0,5629897.47975497,0,275547.820278207,5526216.39011502,0,0,0,0,0,1317021.26705672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3285520.21446063,0,0,0,0,2932689.75046773,1649856.85185741,0,0,0,0,0,1238327.70477649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529093.757520575,0,0,0,0,0,6777,0
9.55317165997316,"110003",2009,0,0,0,0,0,0,1149781.86353532,0,0,0,0,0,0,0,0,6609010.0849453,0,323469.180327352,6487297.50145464,0,0,0,0,0,1546068.44393979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3856915.0343759,0,0,0,0,3442722.75055718,1936788.47827196,0,0,0,0,0,1453689.04474104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621110.063177789,0,0,0,0,0,6695,0.298730395817774
9.5703921461792,"110003",2010,0,0,0,0,0,0,1370447.06959922,0,0,0,0,0,0,0,0,7877405.95943633,0,385549.124007087,7732334.39528307,0,0,0,0,0,1842788.6502595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4597131.05084235,0,0,0,0,4103447.31863889,2308495.35782383,0,0,0,0,0,1732679.8714221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740313.004558395,0,0,0,0,0,6313,0.95041976873119
10.1803982676392,"110003",2011,0,0,0,0,0,0,1744029.3924244,0,0,0,0,0,0,0,0,10024777.9239908,0,490649.379613385,9840160.01535291,0,0,0,0,0,2345130.75431547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5850303.78140807,0,0,0,0,5222042.42157576,2937788.58420081,0,0,0,0,0,2205006.44676922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942121.493186485,0,0,0,0,0,6221,0.160745860794085
10.5324645289307,"110003",2012,0,0,0,0,0,0,2020828.73026485,0,0,0,0,0,0,0,0,11615835.9092583,0,568521.589782975,11401916.8230793,0,0,0,0,0,2717332.41717933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6778820.36484027,0,0,0,0,6050846.0476761,3404052.4776617,0,0,0,0,0,2554968.62461486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091647.99005175,0,0,0,0,0,6132,0
