"gold_mining_area_nb50_100km","cd_mun","year","k12it_nb50_100km_2yrgp","e1n1ac_nb50_100km_2yrgp","n_pct_nb50_100km_2yrgp","elm_nb50_100km_2yrgp","q1p2_nb50_100km_2yrgp","e_nb_nb50_100km_2yrgp","n_qi_nb50_100km_2yrgp","np12x_nb50_100km_2yrgp","q1i_nb50_100km_2yrgp","q2pa_nb50_100km_2yrgp","pp4ja_nb50_100km_2yrgp","q2a_nb50_100km_2yrgp","pp4_gamma_jsp_nb50_100km_2yrgp","a3tu_nb50_100km_2yrgp","mp2_gamma_ac_nb50_100km_2yrgp","k2ut_nb50_100km_2yrgp","a3_gamma_ms_nb50_100km_2yrgp","a4pp1nv_nb50_100km_2yrgp","pp2acgm_nb50_100km_2yrgp","a4gu_nb50_100km_2yrgp","pp4_gamma_sr_nb50_100km_2yrgp","n1dl_nb50_100km_2yrgp","a3xi_nb50_100km_2yrgp","pp34_alfa_c_nb50_100km_2yrgp","pp4na_nb50_100km_2yrgp","a3s_nb50_100km_2yrgp","pp2_gamma_t_nb50_100km_2yrgp","pp3_alfa_i_nb50_100km_2yrgp","np3fcb_nb50_100km_2yrgp","pp3t_nb50_100km_2yrgp","a3_gamma_xg_nb50_100km_2yrgp","pp2_gamma_p4_nb50_100km_2yrgp","a3_gamma_rm_nb50_100km_2yrgp","a3av_nb50_100km_2yrgp","pp2_gamma_c1_nb50_100km_2yrgp","mp1_gamma_p_nb50_100km_2yrgp","n_pcu3_nb50_100km_2yrgp","pp34mv_nb50_100km_2yrgp","mp3f_nb50_100km_2yrgp","mp1_gamma_rc_nb50_100km_2yrgp","np1_gamma_ro_nb50_100km_2yrgp","n1r_nb50_100km_2yrgp","a4gnl_nb50_100km_2yrgp","mp1pl_nb50_100km_2yrgp","pp2iv_nb50_100km_2yrgp","mp2d7_nb50_100km_2yrgp","qfm_nb50_100km_2yrgp","pp2_gamma_acgr_nb50_100km_2yrgp","pp34_gamma_ju_nb50_100km_2yrgp","pp4_gamma_nc1_nb50_100km_2yrgp","a4is_nb50_100km_2yrgp","pp2bt_nb50_100km_2yrgp","pp4r_nb50_100km_2yrgp","q1p1_nb50_100km_2yrgp","o3d1t_nb50_100km_2yrgp","pp2p_nb50_100km_2yrgp","n_pcu5_nb50_100km_2yrgp","k2u_nb50_100km_2yrgp","n_pcu6_nb50_100km_2yrgp","pp34_gamma_jpa_nb50_100km_2yrgp","mp3mc_nb50_100km_2yrgp","pp4mp1rg_nb50_100km_2yrgp","a3mp_nb50_100km_2yrgp","d23p_nb50_100km_2yrgp","pp3_gamma_m4_nb50_100km_2yrgp","pp4sb_nb50_100km_2yrgp","pp2_gamma_p2_nb50_100km_2yrgp","qfpl_nb50_100km_2yrgp","pp1ro_nb50_100km_2yrgp","pp2_gamma_ci_nb50_100km_2yrgp","ssgg_nb50_100km_2yrgp","pp23_gamma_g_nb50_100km_2yrgp","pp2vnbs_nb50_100km_2yrgp","mp3_gamma_frp_nb50_100km_2yrgp","pp2ia_nb50_100km_2yrgp","pp2_gamma_pv_nb50_100km_2yrgp","pp34_gamma_tp_nb50_100km_2yrgp","a4_gamma_2pq_nb50_100km_2yrgp","pp2_gamma_i_nb50_100km_2yrgp","mp3_gamma_sc_nb50_100km_2yrgp","pop","malaria_allpop_api"
0.121563333618164,"110011",2013,0,0,0,0,0,0,0,0,0,0,3965513.41444327,0,0,0,1192468.55476813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880013.488115867,0,0,0,2450809.43198666,1405098.80166269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44016.3171174848,55597,0.26979873014731
0.122444245849609,"110011",2014,0,0,0,0,0,0,0,0,0,0,3446362.61508311,0,0,0,1036354.84672596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764805.277209533,0,0,0,2129958.24760757,1221148.30400296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38253.8586844346,55669,0.0538899567084014
0.12420610144043,"110011",2015,0,0,0,0,0,0,0,0,0,0,3122891.73234559,0,0,0,939083.99785109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693021.699631667,0,0,0,1930043.27884243,1106532.99390166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34663.4038139532,55738,0.0538232444651764
0.130372673706055,"110011",2016,0,0,0,0,0,0,0,0,0,0,3102924.3938099,0,0,0,933079.624435153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688590.614574891,0,0,0,1917702.84861297,1099457.97472591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34441.7707962012,55806,0.107515320933233
0.135658251098633,"110011",2017,0,0,0,0,0,0,0,0,0,0,3226721.89247441,0,0,0,970306.739536743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716063.341869919,0,0,0,1994213.51587695,1143323.0935246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35815.8955034135,55871,0.107390238227345
0.142705651489258,"110011",2018,0,0,0,0,0,0,0,0,0,0,3250682.69846046,0,0,0,977511.987558649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721380.643881065,0,0,0,2009022.03199361,1151813.11644451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36081.8551218657,51933,0.0385111586082067
0.17090301159668,"110011",2019,0,0,0,0,0,0,0,0,0,0,3426395.27654741,0,0,0,1030350.47331002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760374.192152757,0,0,0,2117617.8173781,1214073.2848272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38032.2256666825,51775,0.0193143408981169
0,"110013",2003,0,0,0,0,0,0,0,0,0,0,276043.898054448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82896.8099413332,0,0,0,0,70378.1154077879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151740.837510195,25645,344.589588613765
0,"110013",2004,0,0,0,0,0,0,0,0,0,0,316750.832318261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95121.2243071095,0,0,0,0,80756.4550041618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174117.366537637,29698,325.139740049835
0,"110013",2005,0,0,0,0,0,0,0,0,0,0,349825.216410166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105053.56098007,0,0,0,0,89188.8559268674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192298.296373838,28649,316.10178365737
