level,q_label,n_candidates,n_rlasso,n_after_screen,instruments,coef,se,ci_lo,ci_hi,fstat,pval
mu,q00,602,9,4,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp + pp3_gamma_pgc_2yrgp + p_zi_2yrgp,0.4465550899431179,0.11637524653448816,0.2184596067355211,0.6746505731507146,663.4512494191072,1.565548425159228e-4
mu,q05,528,9,4,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp + pp3_gamma_pgc_2yrgp + p_zi_2yrgp,0.4465550899431179,0.11637524653448816,0.2184596067355211,0.6746505731507146,663.4512494191072,1.565548425159228e-4
mu,q10,528,9,4,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp + pp3_gamma_pgc_2yrgp + p_zi_2yrgp,0.4465550899431179,0.11637524653448816,0.2184596067355211,0.6746505731507146,663.4512494191072,1.565548425159228e-4
mu,q15,511,4,2,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp,0.44669983455906137,0.11653641194611725,0.21828846714467157,0.6751112019734512,995.4043631724463,1.5902268285261187e-4
mu,q20,481,3,2,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp,0.44669983455906137,0.11653641194611725,0.21828846714467157,0.6751112019734512,995.4043631724463,1.5902268285261187e-4
mu,q25,451,3,2,pp3_delta_inc_2yrgp + pp3_gamma_mlp_2yrgp,0.44669983455906137,0.11653641194611725,0.21828846714467157,0.6751112019734512,995.4043631724463,1.5902268285261187e-4
mu,q30,421,3,1,mp3_delta_cs_2yrgp,0.4583360368418114,0.12408981354600322,0.2151200022916451,0.7015520713919777,1945.8176062032858,2.699084043660075e-4
mu,q35,391,3,1,mp3_delta_cs_2yrgp,0.4583360368418114,0.12408981354600322,0.2151200022916451,0.7015520713919777,1945.8176062032858,2.699084043660075e-4
mu,q40,361,3,1,mp3_delta_cs_2yrgp,0.4583360368418114,0.12408981354600322,0.2151200022916451,0.7015520713919777,1945.8176062032858,2.699084043660075e-4
mu,q45,331,3,1,mp3_delta_cs_2yrgp,0.4583360368418114,0.12408981354600322,0.2151200022916451,0.7015520713919777,1945.8176062032858,2.699084043660075e-4
