panel,n_candidates,n_selected,instruments
mu_band_0_50km,80,7,q1p2_nb0_50km_2yrgp n_pcu5_nb0_50km_2yrgp n_pcu3_nb0_50km_2yrgp np3arn_nb0_50km_2yrgp np3ra_nb0_50km_2yrgp np3di_nb0_50km_2yrgp n_pcu4_nb0_50km_2yrgp
mu_band_50_100km,80,7,elm_nb50_100km_2yrgp pp3_alfa_i_nb50_100km_2yrgp pp3t_nb50_100km_2yrgp n_pcu3_nb50_100km_2yrgp n_pcu5_nb50_100km_2yrgp pp1ro_nb50_100km_2yrgp ssgg_nb50_100km_2yrgp
mu_band_100_150km,80,6,elm_nb100_150km_2yrgp e_nb_nb100_150km_2yrgp pp2acgm_nb100_150km_2yrgp pp3t_nb100_150km_2yrgp n_pcu3_nb100_150km_2yrgp n_pcu5_nb100_150km_2yrgp
mu_band_150_200km,80,11,elm_nb150_200km_2yrgp e_nb_nb150_200km_2yrgp mp2_gamma_ac_nb150_200km_2yrgp n_pcu3_nb150_200km_2yrgp pp2_gamma_t_nb150_200km_2yrgp pp4na_nb150_200km_2yrgp o3d1t_nb150_200km_2yrgp n_pcu5_nb150_200km_2yrgp pp34_gamma_tp_nb150_200km_2yrgp pp3_gamma_m2_nb150_200km_2yrgp pp2_gamma_acgr_nb150_200km_2yrgp
mu_band_200_250km,80,6,elm_nb200_250km_2yrgp e1n1ac_nb200_250km_2yrgp e_nb_nb200_250km_2yrgp mp1_gamma_p_nb200_250km_2yrgp pp3_gamma_cz_nb200_250km_2yrgp pp4na_nb200_250km_2yrgp
mu_band_250_300km,80,4,elm_nb250_300km_2yrgp e_nb_nb250_300km_2yrgp pp4ja_nb250_300km_2yrgp mp1_gamma_p_nb250_300km_2yrgp
mu_band_300_350km,80,9,elm_nb300_350km_2yrgp e1n1ac_nb300_350km_2yrgp pp34_alfa_c_nb300_350km_2yrgp e_nb_nb300_350km_2yrgp pp4ja_nb300_350km_2yrgp a4is_nb300_350km_2yrgp pp23go_nb300_350km_2yrgp a3tm_nb300_350km_2yrgp pp3cc_nb300_350km_2yrgp
