year,var,goldprice_2yr,alpha,beta,alpha_sum,beta_weighted,z_col
2003,pp3_delta_inc,337.4732121,-0.056854405503553286,0.08889153930239818,0.6195835999248442,-0.00815689056641691,t2003_pp3_delta_inc
2003,pp3_gamma_mlp,337.4732121,-0.05714861302684581,0.08940865903228794,0.3804164000752208,-0.013431547260515304,t2003_pp3_gamma_mlp
2004,pp3_delta_inc,387.23884705,-0.06895899843410798,0.10576989155967148,0.6195835999248442,-0.011772076903462093,t2004_pp3_delta_inc
2004,pp3_gamma_mlp,387.23884705,-0.070147092576515635,0.1843632269260489,0.3804164000752208,-0.03399575923732395,t2004_pp3_gamma_mlp
2005,pp3_delta_inc,427.67342545,-0.07914103807193588,0.2312368814984458,0.6195835999248442,-0.029536493290855444,t2005_pp3_delta_inc
2005,pp3_gamma_mlp,427.67342545,-0.0744486621774397,0.23164740702428602,0.3804164000752208,-0.04533411163772349,t2005_pp3_gamma_mlp
2006,pp3_delta_inc,525.6495193,-0.0870920775933614,0.13082605100361644,0.6195835999248442,-0.018389629077693644,t2006_pp3_delta_inc
2006,pp3_gamma_mlp,525.6495193,-0.07728905277714068,-0.7175608089033774,0.3804164000752208,0.1457865518394441,t2006_pp3_gamma_mlp
2007,pp3_delta_inc,653.1739589,-0.07719450951999576,-0.9209731018397516,0.6195835999248442,0.11474491398134565,t2007_pp3_delta_inc
2007,pp3_gamma_mlp,653.1739589,-0.03604169012916757,-2.9864081502280393,0.3804164000752208,0.28294047556429347,t2007_pp3_gamma_mlp
2008,pp3_delta_inc,786.91910285,0.013176066628718877,6.32404376194868,0.6195835999248442,0.13448713293973125,t2008_pp3_delta_inc
2008,pp3_gamma_mlp,786.91910285,0.06269577947133433,-0.08948897268283094,0.3804164000752208,-0.014748525287894092,t2008_pp3_gamma_mlp
2009,pp3_delta_inc,923.774599,0.1315766682300964,-0.38126173409741065,0.6195835999248442,-0.08096590791339746,t2009_pp3_delta_inc
2009,pp3_gamma_mlp,923.774599,0.20456687487781172,-0.2939583127605599,0.3804164000752208,-0.15807450302850143,t2009_pp3_gamma_mlp
2010,pp3_delta_inc,1101.0646735,0.32611297418331814,-0.23147847166849417,0.6195835999248442,-0.12183688022791164,t2010_pp3_delta_inc
2010,pp3_gamma_mlp,1101.0646735,0.3974070469773854,-0.16808805388947426,0.3804164000752208,-0.1755954189019799,t2010_pp3_gamma_mlp
2011,pp3_delta_inc,1401.2136595,0.5952976586880997,-0.09916671932032797,0.6195835999248442,-0.09527966175723825,t2011_pp3_delta_inc
2011,pp3_gamma_mlp,1401.2136595,-0.05822498471588857,-0.30895584213566085,0.3804164000752208,0.047287522784707305,t2011_pp3_gamma_mlp
2012,pp3_delta_inc,1623.603841,-0.07208368217607412,4.598397627400782,0.6195835999248442,-0.534987422412373,t2012_pp3_delta_inc
2012,pp3_gamma_mlp,1623.603841,-0.07821032300177228,5.599821427255921,0.3804164000752208,-1.1512748727219204,t2012_pp3_gamma_mlp
2013,pp3_delta_inc,1544.28986,-0.08365687615581348,2.4518970953582513,0.6195835999248442,-0.33105790998674745,t2013_pp3_delta_inc
2013,pp3_gamma_mlp,1544.28986,-0.090846518686115,5.610210879589178,0.3804164000752208,-1.3397638151374804,t2013_pp3_gamma_mlp
2014,pp3_delta_inc,1342.116968,-0.0726363479540538,6.486360753591386,0.6195835999248442,-0.7604228980730489,t2014_pp3_delta_inc
2014,pp3_gamma_mlp,1342.116968,-0.06623479033876664,3.8809070793819282,0.3804164000752208,-0.6757097398436812,t2014_pp3_gamma_mlp
2015,pp3_delta_inc,1216.1477045,-0.0468804147598171,-42.00996048733093,0.6195835999248442,3.1786580082631244,t2015_pp3_delta_inc
2015,pp3_gamma_mlp,1216.1477045,-0.04242999317116441,-22.869238560666265,0.3804164000752208,2.550735551272056,t2015_pp3_gamma_mlp
2016,pp3_delta_inc,1208.371824,-0.03637900277510559,-21.650347587646127,0.6195835999248442,1.2712054597128095,t2016_pp3_delta_inc
2016,pp3_gamma_mlp,1208.371824,-0.03041243547152001,-5.890295081802635,0.3804164000752208,0.4709003582603505,t2016_pp3_gamma_mlp
2017,pp3_delta_inc,1256.582283,-0.025175490153354605,23.329570694902728,0.6195835999248442,-0.9479485534845622,t2017_pp3_delta_inc
2017,pp3_gamma_mlp,1256.582283,8.25278232962764e-4,-809.3572705843854,0.3804164000752208,-1.7558258213141509,t2017_pp3_gamma_mlp
2018,pp3_delta_inc,1265.9133395,0.0560469236670743,-12.900874139947692,0.6195835999248442,-1.167000398732129,t2018_pp3_delta_inc
2018,pp3_gamma_mlp,1265.9133395,0.12122832786740743,-2.8460548899711626,0.3804164000752208,-0.9069600449976395,t2018_pp3_gamma_mlp
2019,pp3_delta_inc,1334.3410875,0.20342615162470987,-2.248228553603012,0.6195835999248442,-0.7381545971967706,t2019_pp3_delta_inc
2019,pp3_gamma_mlp,1334.3410875,0.27512724872065547,2.107719266217325,0.3804164000752208,1.5243585783242464,t2019_pp3_gamma_mlp
