cd_mun,year,gold_mining_area,malaria_allpop_api,pop
110001,2003,0,2.43079490621485,27563
110002,2003,0,47.4397590361446,79680
110003,2003,0,5.34902380315592,7478
110004,2003,0,0.321035875759116,74758
110005,2003,0,1.1801730920535,17794
110006,2003,0,0.146972369194591,20412
110007,2003,0,10.9758531231291,10022
110008,2003,0,162.262311067772,10255
110009,2003,0,0.793410911289104,26468
110010,2003,0,34.6606927104309,39728
110011,2003,0,2.50452459735654,54701
110012,2003,0,4.98297938360728,109573
110013,2003,0,344.589588613765,25645
110014,2003,0,8.13380685072746,17458
110015,2003,0,0.930870608985351,40822
110018,2003,0,0.442869796279894,31612
110020,2003,7.47111405023205,93.2447360019889,353961
110025,2003,0,3.54856128982489,25926
110026,2003,0,155.832037325039,3215
110028,2003,0,0.412933063550398,48434
110029,2003,0,0.527240773286467,11380
110030,2003,0.79662521105957,0.272632780683968,58687
110032,2003,0,8.87584951907008,26927
110033,2003,0,196.104807579834,17098
110034,2003,0,4.05864745573538,19711
110037,2003,0,1.94917701414958,13852
110040,2003,0,345.719790806496,14532
110045,2003,0,200.128150363093,32774
110050,2003,0,1.19588615163836,12543
110060,2003,0,58.0299390131214,5411
110070,2003,0.00263827331542968,266.094420600858,14446
110080,2003,0,390.480032271077,14874
110090,2003,0,8.64968765016819,4162
110092,2003,0,11.1834418294108,5991
110094,2003,0,686.113286348212,7662
110100,2003,0,4.81469749762433,15785
110110,2003,0,522.225144660705,7604
110120,2003,0,1.06269925611052,11292
110130,2003,0,2.65291083271923,13570
110140,2003,0,90.9027777777778,14400
110143,2003,0,0.683994528043776,8772
110145,2003,0,1.16009280742459,3448
110146,2003,0,12.4465188642552,2571
110147,2003,0,0.230149597238205,4345
110148,2003,0,1.25997480050399,7143
110149,2003,0,73.6256089074461,14370
110150,2003,0,19.5082449941107,13584
110155,2003,0,0.523286237571952,5733
110160,2003,0,36.3330125120308,12468
110170,2003,0,2.86051862446365,16081
110175,2003,0,120.140953639467,9081
110180,2003,0,35.3290450272142,10105
120001,2003,0,92.1219091431857,8695
120005,2003,0,2.18161985274066,3667
120010,2003,0,0.613018279090504,17944
120013,2003,0,17.0155097123927,6641
120017,2003,0,64.9606299212598,6096
120020,2003,0,52.9338123231004,73488
120025,2003,0,0.32957073411881,12137
120030,2003,0,2.1370420624152,29480
120032,2003,0,27.5999116802826,4529
120033,2003,0,60.9241960816731,12097
120034,2003,0,0.144822592324403,6905
120035,2003,0,9.92585505859842,8362
120038,2003,0,45.5991516436903,16031
120039,2003,0,11.7556369242629,5189
120040,2003,0,3.68960681830599,274555
120042,2003,0,192.505854800937,8540
120043,2003,0,0,2729
120045,2003,0,26.3530745253613,21174
120050,2003,0,0.547874568951626,31029
120060,2003,0,24.1484683610345,26834
120070,2003,0,13.3527555231852,12357
120080,2003,0,21.7068339385936,12116
