year,cd_mun,Chronic_resp,Ulcer,Tuberculosis,Dermatitis,Accidents,STD,Pneumonia,HIV,Diabetes
2003,130423,2,1,0,1,0,0,44,0,0
2003,130430,0,0,0,0,0,0,27,0,0
2003,130440,0,0,0,0,0,0,33,0,0
2003,140002,0,0,0,0,0,0,6,0,0
2003,140005,1,0,1,0,0,0,61,0,7
2003,140010,22,8,31,0,0,0,253,58,54
2003,140015,2,0,3,0,0,0,17,2,2
2003,140017,0,0,1,0,0,0,13,1,5
2003,140020,0,0,0,0,0,0,16,0,2
2003,140023,1,1,0,0,0,0,22,0,0
2003,140028,0,0,0,0,0,0,5,0,1
2003,140030,1,1,5,1,0,0,36,0,6
2003,140040,0,0,5,0,0,0,46,0,4
2003,140045,0,1,1,0,0,0,59,1,13
2003,140047,2,0,1,0,0,0,27,0,5
2003,140050,1,1,0,0,0,1,23,1,1
2003,140060,1,1,0,0,0,0,16,0,1
2003,140070,0,0,3,0,0,0,10,0,0
2003,150010,70,19,14,0,0,3,812,6,31
2003,150013,8,0,0,0,0,0,32,0,7
2003,150020,1,6,3,0,0,0,190,0,2
2003,150030,0,1,1,0,0,3,84,0,5
2003,150034,14,10,0,0,0,0,176,0,6
2003,150040,2,11,1,1,0,1,329,0,27
2003,150050,16,6,0,0,0,0,260,0,10
2003,150060,263,55,6,0,0,0,1249,1,63
2003,150070,8,0,0,0,0,0,19,0,0
2003,150080,332,58,51,13,0,38,2964,63,321
2003,150085,13,6,0,0,0,0,55,0,0
2003,150090,91,27,0,1,0,0,430,1,8
2003,150095,53,4,1,0,0,0,104,0,6
2003,150100,1,0,0,0,0,0,7,0,0
2003,150110,1,1,2,0,0,0,20,0,0
2003,150120,1,1,0,0,0,0,42,0,2
2003,150125,2,0,0,0,0,0,2,0,0
2003,150130,12,11,5,0,0,6,404,2,11
2003,150140,293,297,325,26,2,241,6126,389,521
2003,150145,1,0,1,0,0,0,21,0,2
2003,150150,26,10,2,1,0,5,87,1,11
2003,150157,5,0,0,0,0,0,14,0,17
2003,150160,13,4,1,0,0,0,34,0,1
2003,150170,111,139,3,2,0,4,2258,4,115
2003,150172,57,16,0,0,0,0,146,0,14
2003,150175,2,2,1,0,0,0,17,1,8
2003,150178,1,3,4,0,0,0,108,0,5
2003,150180,20,13,8,3,0,0,629,0,8
2003,150190,7,7,0,0,0,0,82,0,2
2003,150195,9,4,1,0,0,0,48,0,2
2003,150200,1,1,0,0,0,0,11,0,1
2003,150210,26,18,5,1,0,0,478,0,20
2003,150215,6,6,2,0,0,0,72,0,0
2003,150220,32,26,1,0,0,0,409,0,32
2003,150230,31,12,1,1,0,2,415,0,52
2003,150240,81,80,11,1,0,7,592,6,73
2003,150250,0,1,0,0,0,0,9,0,0
2003,150260,5,3,0,0,0,0,25,0,11
2003,150270,72,8,1,1,0,0,326,1,24
2003,150275,4,2,0,0,0,0,43,0,3
2003,150276,1,0,0,0,0,0,17,0,1
2003,150277,20,8,0,0,0,0,374,2,35
2003,150280,1,2,1,0,0,0,22,0,2
2003,150285,0,0,0,0,0,0,15,0,1
2003,150290,2,4,0,2,0,0,142,0,7
2003,150293,154,12,1,0,0,0,1095,0,60
2003,150295,36,5,0,0,0,1,525,3,15
2003,150300,0,1,0,0,0,0,3,0,3
2003,150304,11,4,0,0,0,0,157,1,4
2003,150307,30,0,0,0,0,0,115,0,23
2003,150309,1,2,0,0,0,0,19,0,27
2003,150310,3,3,0,0,0,0,53,0,0
2003,150320,23,19,0,0,0,0,192,0,10
2003,150330,36,21,5,1,0,10,674,1,25
2003,150340,2,1,1,0,0,0,36,0,0
2003,150345,94,6,3,0,0,0,102,0,22
2003,150350,77,36,1,0,0,1,412,0,43
2003,150360,116,27,1,2,0,0,970,0,65
2003,150370,8,8,0,0,0,1,53,0,4
2003,150375,0,1,0,0,0,0,52,0,0
2003,150380,28,9,1,0,0,0,212,0,32
2003,150390,0,1,0,2,0,0,90,0,2
2003,150400,0,0,0,0,0,0,6,0,1
2003,150405,75,4,0,0,0,0,269,1,20
2003,150410,2,2,0,0,0,0,16,0,0
2003,150420,329,38,11,0,0,4,692,8,67
2003,150430,32,8,2,0,0,1,141,0,15
2003,150440,7,5,0,3,0,2,57,0,12
2003,150442,57,39,9,1,0,13,501,17,29
2003,150445,26,13,1,1,0,1,206,0,4
2003,150450,1,0,1,0,0,0,23,0,2
2003,150460,2,0,2,0,0,0,118,0,1
2003,150470,15,20,5,1,0,4,278,1,14
2003,150480,25,4,0,0,0,5,164,0,36
2003,150490,26,4,1,0,0,0,54,0,1
2003,150495,0,0,1,0,0,0,25,0,8
2003,150497,1,1,0,0,0,0,12,0,1
2003,150500,7,6,0,0,0,0,17,0,2
2003,150503,0,0,1,0,0,0,6,0,0
2003,150506,66,3,2,0,0,0,418,0,15
2003,150510,22,7,1,0,0,0,264,0,0
2003,150520,0,0,1,0,0,0,37,0,0
2003,150530,5,6,0,0,0,2,136,0,7
2003,150540,12,16,0,0,0,0,30,0,10
2003,150543,156,20,3,0,0,0,256,0,2
2003,150548,35,5,0,0,0,0,224,0,6
2003,150549,2,0,0,0,0,0,47,0,2
2003,150550,86,12,1,0,0,25,766,0,24
2003,150553,74,14,3,3,0,4,1074,12,76
2003,150555,97,1,2,0,0,0,77,0,3
2003,150560,1,0,0,0,0,0,21,0,1
2003,150563,3,0,1,0,0,2,16,0,0
2003,150565,1,3,0,0,0,0,4,0,1
2003,150570,0,1,0,0,0,0,26,2,0
2003,150580,3,1,1,0,0,1,71,0,7
2003,150590,5,1,1,0,0,0,87,0,3
2003,150600,1,1,0,0,0,0,17,0,3
2003,150610,5,8,0,0,0,0,22,0,7
2003,150611,6,7,0,0,0,0,35,1,7
2003,150613,92,20,1,1,0,0,427,5,34
2003,150616,29,17,1,0,0,0,191,0,5
2003,150618,144,2,2,1,0,0,1354,1,29
2003,150619,15,12,1,0,0,0,5,0,21
2003,150620,10,13,2,0,1,0,169,2,27
2003,150630,10,1,1,0,0,0,75,0,1
2003,150635,9,4,0,0,0,1,28,0,9
2003,150640,0,0,0,0,0,0,0,2,0
2003,150650,30,15,1,0,0,1,898,3,54
2003,150655,7,4,1,0,0,1,66,0,2
2003,150658,11,1,1,0,0,1,64,0,7
2003,150660,9,19,1,0,0,1,43,2,11
2003,150670,54,21,1,2,0,0,320,0,16
2003,150680,42,52,27,5,1,4,1306,1,122
2003,150690,2,0,0,0,0,0,17,2,1
2003,150700,85,1,0,0,0,1,405,1,72
2003,150710,3,1,0,0,0,0,30,0,5
2003,150715,12,8,1,0,0,0,108,1,9
2003,150720,28,5,1,2,0,0,52,1,8
2003,150730,36,42,1,0,0,3,517,0,22
2003,150740,7,3,0,0,0,0,18,0,3
2003,150745,12,3,3,1,0,2,208,5,11
2003,150746,0,0,0,0,0,0,2,4,0
2003,150747,31,8,0,0,0,0,133,0,14
2003,150750,2,0,1,0,0,0,17,1,2
2003,150760,217,31,1,0,0,0,791,1,87
